key,count,topTaskFlavors,topArchetypes,topStemPatterns,topContainerTags
CPP|single_choice|medium,1196,"generic_concept:961, final_scalar_value:172, sorting_trace:37, loop_iteration_count:15, complexity_bound_reasoning:6, stack_state_trace:2, map_count_lookup:1, prefix_sum_query:1, priority_queue_order:1","inferred-generic_concept:961, inferred-final_scalar_value:172, inferred-sorting_trace:37, inferred-loop_iteration_count:15, inferred-complexity_bound_reasoning:6, inferred-stack_state_trace:2, inferred-map_count_lookup:1, inferred-prefix_sum_query:1, inferred-priority_queue_order:1","final_value:637, short_trace:425, concept_choice:112, loop_count:15, complexity:7","vector:126, stack:2, map:1, priority_queue:1"
ALG|single_choice|medium,1121,"generic_concept:459, sorting_trace:244, binary_search_boundary:136, stack_state_trace:80, prefix_sum_query:46, complexity_bound_reasoning:45, dp_state_transition:27, final_scalar_value:23, bfs_adjacency_queue:21, loop_iteration_count:15","inferred-generic_concept:459, inferred-sorting_trace:244, inferred-binary_search_boundary:136, inferred-stack_state_trace:80, inferred-prefix_sum_query:46, inferred-complexity_bound_reasoning:45, inferred-dp_state_transition:27, inferred-final_scalar_value:23, inferred-bfs_adjacency_queue:21, inferred-loop_iteration_count:15","short_trace:521, final_value:303, complexity:152, loop_count:106, concept_choice:39","vector:401, stack:82, tree:81, graph:60, priority_queue:41, queue:26, set:6, union_find:3, deque:1"
CPP|single_choice|easy,1093,"generic_concept:864, final_scalar_value:182, sorting_trace:22, loop_iteration_count:21, complexity_bound_reasoning:2, prefix_sum_query:1, set_order_unique:1","inferred-generic_concept:864, inferred-final_scalar_value:182, inferred-sorting_trace:22, inferred-loop_iteration_count:21, inferred-complexity_bound_reasoning:2, inferred-prefix_sum_query:1, inferred-set_order_unique:1","final_value:574, short_trace:389, concept_choice:107, loop_count:21, complexity:2","vector:79, priority_queue:1, set:1"
DS|single_choice|medium,957,"generic_concept:411, stack_state_trace:237, queue_state_trace:136, sorting_trace:60, priority_queue_order:27, complexity_bound_reasoning:24, bfs_adjacency_queue:19, binary_search_boundary:14, loop_iteration_count:13, final_scalar_value:9","inferred-generic_concept:411, inferred-stack_state_trace:237, inferred-queue_state_trace:136, inferred-sorting_trace:60, inferred-priority_queue_order:27, inferred-complexity_bound_reasoning:24, inferred-bfs_adjacency_queue:19, inferred-binary_search_boundary:14, inferred-loop_iteration_count:13, inferred-final_scalar_value:9","short_trace:576, final_value:160, loop_count:107, concept_choice:72, complexity:42","tree:243, stack:237, vector:182, queue:157, priority_queue:61, graph:45, set:5, union_find:5, deque:3, map:2"
ALG|single_choice|hard,624,"generic_concept:225, sorting_trace:117, binary_search_boundary:90, dp_state_transition:36, prefix_sum_query:34, stack_state_trace:34, complexity_bound_reasoning:29, final_scalar_value:17, priority_queue_order:11, queue_state_trace:9","inferred-generic_concept:225, inferred-sorting_trace:117, inferred-binary_search_boundary:90, inferred-dp_state_transition:36, inferred-prefix_sum_query:34, inferred-stack_state_trace:34, inferred-complexity_bound_reasoning:29, inferred-final_scalar_value:17, inferred-priority_queue_order:11, inferred-queue_state_trace:9","short_trace:263, final_value:178, loop_count:84, complexity:75, concept_choice:24","vector:293, tree:53, graph:52, stack:37, priority_queue:28, queue:21, set:9, union_find:7"
CPP|single_choice|hard,610,"generic_concept:480, final_scalar_value:81, sorting_trace:32, complexity_bound_reasoning:7, stack_state_trace:3, loop_iteration_count:2, map_count_lookup:2, binary_search_boundary:1, prefix_sum_query:1, priority_queue_order:1","inferred-generic_concept:480, inferred-final_scalar_value:81, inferred-sorting_trace:32, inferred-complexity_bound_reasoning:7, inferred-stack_state_trace:3, inferred-loop_iteration_count:2, inferred-map_count_lookup:2, inferred-binary_search_boundary:1, inferred-prefix_sum_query:1, inferred-priority_queue_order:1","final_value:362, short_trace:194, concept_choice:44, complexity:8, loop_count:2","vector:78, graph:3, stack:3, map:2, priority_queue:1, queue:1, tree:1, union_find:1"
DS|single_choice|hard,600,"generic_concept:234, stack_state_trace:117, queue_state_trace:71, priority_queue_order:42, set_order_unique:34, sorting_trace:34, final_scalar_value:16, loop_iteration_count:14, bfs_adjacency_queue:13, complexity_bound_reasoning:13","inferred-generic_concept:234, inferred-stack_state_trace:117, inferred-queue_state_trace:71, inferred-priority_queue_order:42, inferred-set_order_unique:34, inferred-sorting_trace:34, inferred-final_scalar_value:16, inferred-loop_iteration_count:14, inferred-bfs_adjacency_queue:13, inferred-complexity_bound_reasoning:13","short_trace:361, final_value:116, loop_count:73, complexity:32, concept_choice:18","tree:144, stack:118, vector:114, priority_queue:94, queue:93, graph:36, set:32, union_find:26, deque:5, map:4"
BAS|single_choice|easy,598,"generic_concept:552, final_scalar_value:17, stack_state_trace:15, sorting_trace:4, queue_state_trace:3, complexity_bound_reasoning:2, loop_iteration_count:2, debug_trace_reasoning:1, memory_layout_basic:1, os_file_path_reasoning:1","inferred-generic_concept:552, inferred-final_scalar_value:17, inferred-stack_state_trace:15, inferred-sorting_trace:4, inferred-queue_state_trace:3, inferred-complexity_bound_reasoning:2, inferred-loop_iteration_count:2, bas-debug-trace:1, bas-memory-layout-basic:1, bas-os-file-path:1","short_trace:369, final_value:147, concept_choice:70, complexity:8, loop_count:4","stack:15, vector:12, graph:10, tree:9, queue:8, priority_queue:1"
BAS|single_choice|medium,577,"generic_concept:490, stack_state_trace:51, final_scalar_value:14, sorting_trace:8, binary_search_boundary:6, queue_state_trace:4, complexity_bound_reasoning:3, loop_iteration_count:1","inferred-generic_concept:490, inferred-stack_state_trace:51, inferred-final_scalar_value:14, inferred-sorting_trace:8, inferred-binary_search_boundary:6, inferred-queue_state_trace:4, inferred-complexity_bound_reasoning:3, inferred-loop_iteration_count:1","short_trace:341, final_value:137, concept_choice:79, complexity:12, loop_count:8","stack:51, vector:26, tree:24, graph:10, queue:10, priority_queue:2"
ALG|single_choice|easy,563,"generic_concept:212, sorting_trace:119, binary_search_boundary:101, stack_state_trace:35, complexity_bound_reasoning:30, prefix_sum_query:22, dp_state_transition:19, queue_state_trace:8, final_scalar_value:6, priority_queue_order:6","inferred-generic_concept:212, inferred-sorting_trace:119, inferred-binary_search_boundary:101, inferred-stack_state_trace:35, inferred-complexity_bound_reasoning:30, inferred-prefix_sum_query:22, inferred-dp_state_transition:19, inferred-queue_state_trace:8, inferred-final_scalar_value:6, inferred-priority_queue_order:6","short_trace:243, final_value:145, complexity:80, loop_count:74, concept_choice:21","vector:218, stack:39, tree:29, queue:20, priority_queue:15, graph:10, deque:2, set:1"
