id,sourcePath,examTypes,questionType,difficulty,kpGroup,taskFlavor,qualityScore,reasons,recommendedAction
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json#4,papers/2026/2026-05-01-bulk1000-b001-gesp-6-hard-v01/question-bundles/2026-05-01-bulk1000-b001-gesp-6-hard-v01__question-bundle__single-choice__ds__n5__v01.json,GESP-6,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json#4,papers/2026/2026-05-01-bulk1000-b068-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b068-csp-s-hard-v01__question-bundle__single-choice__ds__n5__v01.json,CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
