key,count,topTaskFlavors,topArchetypes,topStemPatterns,topContainerTags
GESP-1|single_choice|easy|CPP,324,"generic_concept:250, final_scalar_value:67, loop_iteration_count:7","inferred-generic_concept:250, inferred-final_scalar_value:67, inferred-loop_iteration_count:7","final_value:176, short_trace:111, concept_choice:30, loop_count:7",vector:12
GESP-2|single_choice|easy|CPP,318,"generic_concept:274, final_scalar_value:38, loop_iteration_count:5, complexity_bound_reasoning:1","inferred-generic_concept:274, inferred-final_scalar_value:38, inferred-loop_iteration_count:5, inferred-complexity_bound_reasoning:1","final_value:148, short_trace:123, concept_choice:41, loop_count:5, complexity:1","vector:15, priority_queue:1"
GESP-7|single_choice|medium|ALG,275,"generic_concept:75, sorting_trace:57, prefix_sum_query:44, binary_search_boundary:35, dp_state_transition:24, stack_state_trace:15, complexity_bound_reasoning:10, final_scalar_value:7, queue_state_trace:3, bfs_adjacency_queue:2","inferred-generic_concept:75, inferred-sorting_trace:57, inferred-prefix_sum_query:44, inferred-binary_search_boundary:35, inferred-dp_state_transition:24, inferred-stack_state_trace:15, inferred-complexity_bound_reasoning:10, inferred-final_scalar_value:7, inferred-queue_state_trace:3, inferred-bfs_adjacency_queue:2","short_trace:131, final_value:108, complexity:23, loop_count:8, concept_choice:5","vector:153, stack:15, tree:13, graph:8, queue:6, priority_queue:4, set:2, union_find:1"
GESP-1|single_choice|medium|CPP,272,"generic_concept:242, final_scalar_value:20, loop_iteration_count:7, complexity_bound_reasoning:2, stack_state_trace:1","inferred-generic_concept:242, inferred-final_scalar_value:20, inferred-loop_iteration_count:7, inferred-complexity_bound_reasoning:2, inferred-stack_state_trace:1","final_value:140, short_trace:86, concept_choice:37, loop_count:7, complexity:2","vector:19, stack:1"
GESP-2|single_choice|medium|CPP,257,"generic_concept:229, final_scalar_value:25, loop_iteration_count:3","inferred-generic_concept:229, inferred-final_scalar_value:25, inferred-loop_iteration_count:3","final_value:140, short_trace:96, concept_choice:18, loop_count:3",vector:16
GESP-7|single_choice|hard|ALG,230,"generic_concept:62, binary_search_boundary:45, sorting_trace:35, prefix_sum_query:33, dp_state_transition:27, stack_state_trace:11, final_scalar_value:4, set_order_unique:4, queue_state_trace:3, complexity_bound_reasoning:2","inferred-generic_concept:62, inferred-binary_search_boundary:45, inferred-sorting_trace:35, inferred-prefix_sum_query:33, inferred-dp_state_transition:27, inferred-stack_state_trace:11, inferred-final_scalar_value:4, inferred-set_order_unique:4, inferred-queue_state_trace:3, inferred-complexity_bound_reasoning:2","short_trace:96, final_value:94, loop_count:26, complexity:9, concept_choice:5","vector:147, stack:12, tree:8, graph:6, queue:6, priority_queue:4, set:3"
GESP-8|single_choice|medium|DS,227,"generic_concept:90, stack_state_trace:64, queue_state_trace:37, sorting_trace:17, complexity_bound_reasoning:5, bfs_adjacency_queue:4, priority_queue_order:4, binary_search_boundary:2, loop_iteration_count:2, final_scalar_value:1","inferred-generic_concept:90, inferred-stack_state_trace:64, inferred-queue_state_trace:37, inferred-sorting_trace:17, inferred-complexity_bound_reasoning:5, inferred-bfs_adjacency_queue:4, inferred-priority_queue_order:4, inferred-binary_search_boundary:2, inferred-loop_iteration_count:2, inferred-final_scalar_value:1","short_trace:141, final_value:42, loop_count:19, concept_choice:16, complexity:9","stack:64, tree:55, vector:47, queue:43, priority_queue:11, graph:10, deque:1, set:1"
GESP-7|single_choice|medium|DS,221,"generic_concept:101, stack_state_trace:45, queue_state_trace:33, sorting_trace:12, priority_queue_order:7, binary_search_boundary:5, complexity_bound_reasoning:5, loop_iteration_count:5, bfs_adjacency_queue:3, set_order_unique:3","inferred-generic_concept:101, inferred-stack_state_trace:45, inferred-queue_state_trace:33, inferred-sorting_trace:12, inferred-priority_queue_order:7, inferred-binary_search_boundary:5, inferred-complexity_bound_reasoning:5, inferred-loop_iteration_count:5, inferred-bfs_adjacency_queue:3, inferred-set_order_unique:3","short_trace:134, final_value:36, concept_choice:22, loop_count:21, complexity:8","tree:53, stack:45, queue:38, vector:35, priority_queue:16, graph:10, set:3, union_find:2"
CSP-S|single_choice|medium|DS,215,"generic_concept:92, stack_state_trace:58, queue_state_trace:22, sorting_trace:14, priority_queue_order:10, bfs_adjacency_queue:5, complexity_bound_reasoning:5, loop_iteration_count:3, binary_search_boundary:2, final_scalar_value:2","inferred-generic_concept:92, inferred-stack_state_trace:58, inferred-queue_state_trace:22, inferred-sorting_trace:14, inferred-priority_queue_order:10, inferred-bfs_adjacency_queue:5, inferred-complexity_bound_reasoning:5, inferred-loop_iteration_count:3, inferred-binary_search_boundary:2, inferred-final_scalar_value:2","short_trace:123, final_value:38, loop_count:32, complexity:11, concept_choice:11","stack:58, tree:55, vector:44, queue:27, priority_queue:21, graph:11, map:2, deque:1, union_find:1"
CSP-S|single_choice|medium|ALG,212,"generic_concept:105, sorting_trace:47, binary_search_boundary:13, stack_state_trace:10, complexity_bound_reasoning:9, bfs_adjacency_queue:8, loop_iteration_count:8, final_scalar_value:3, priority_queue_order:3, queue_state_trace:3","inferred-generic_concept:105, inferred-sorting_trace:47, inferred-binary_search_boundary:13, inferred-stack_state_trace:10, inferred-complexity_bound_reasoning:9, inferred-bfs_adjacency_queue:8, inferred-loop_iteration_count:8, inferred-final_scalar_value:3, inferred-priority_queue_order:3, inferred-queue_state_trace:3","short_trace:93, final_value:51, complexity:35, loop_count:22, concept_choice:11","vector:55, tree:29, graph:21, priority_queue:13, stack:10, queue:7, set:2, union_find:2, deque:1"
