id,sourcePath,examTypes,questionType,difficulty,kpGroup,archetypeId,taskFlavor,qualityScore,reasons,recommendedAction
db:088b2955-5230-4e69-9a09-6f68fdd5d38b,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:1c782d79-b219-4440-9987-d5187837fc87,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:2798c83e-43cd-4431-9bb0-fde99f5d2296,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:35151adb-4176-4b75-907b-0f6347d090cf,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:390da97a-7548-4b52-b649-75f03670ca95,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:5ba2e92a-4b02-44f4-8611-ae422ab20fb7,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:628f17c0-12c7-40ac-ae81-830792af3f89,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:674a80a7-ad9c-49d9-a98a-80033716b419,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:687e5021-174f-4d14-82bf-bd4a3e2d75fa,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:6cc7f8e2-7de6-4439-a5b0-95610beefcc9,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:71f7c5fa-f525-4c21-ac0f-00167b0b2a27,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:8623ee9e-c4cf-4fd5-9a2f-1dedfc0d97e7,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:999a9321-1f11-4f48-8868-4104f7ec198f,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:b2619a8d-b189-40d1-95c6-55081f1f9584,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:b6fde542-438b-4fff-851a-6c733b9fb8db,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:d9a04a4b-9d5b-4e3a-b7e3-0bd29ba3b8d7,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-queue_state_trace,queue_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:da23bba2-e2f9-415a-8c09-3b6424ec2e8e,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:dff9ed9c-d2fd-490c-a72d-11283bf0fd47,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:ef58e654-92a0-43c7-b6b8-2a5ea5caeaf1,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:f841ca7b-d012-435c-8489-5ff5fbc99461,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-stack_state_trace,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,rewrite_or_archive_review
db:0009d14b-c178-4edc-8b94-b58a926e948e,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,inferred-final_scalar_value,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
db:0141b314-9026-4d1c-87a9-36747600b5b4,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-queue_state_trace,queue_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|ds_stack_queue_overused_candidate,rewrite_hard_rubric
db:0271d065-1ecb-4d47-a2cd-f3e8e7557936,db:questions,CSP-J|CSP-S,single_choice,hard,DS,inferred-queue_state_trace,queue_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|ds_stack_queue_overused_candidate,rewrite_hard_rubric
db:02dc2ae0-4ce9-4e92-9c26-0758d640b3d8,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,inferred-prefix_sum_query,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
db:02e1355b-8e6c-4c2d-a1b7-71c144911650,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
