key,count,topTaskFlavors,topArchetypes,topStemPatterns,topContainerTags
CPP|single_choice|medium,1320,"generic_concept:1078, final_scalar_value:177, sorting_trace:37, loop_iteration_count:17, complexity_bound_reasoning:6, stack_state_trace:2, map_count_lookup:1, prefix_sum_query:1, priority_queue_order:1","inferred-generic_concept:1078, inferred-final_scalar_value:177, inferred-sorting_trace:37, inferred-loop_iteration_count:17, inferred-complexity_bound_reasoning:6, inferred-stack_state_trace:2, inferred-map_count_lookup:1, inferred-prefix_sum_query:1, inferred-priority_queue_order:1","final_value:707, short_trace:463, concept_choice:126, loop_count:17, complexity:7","vector:132, stack:2, map:1, priority_queue:1"
CPP|single_choice|easy,1251,"generic_concept:1006, final_scalar_value:192, loop_iteration_count:27, sorting_trace:22, complexity_bound_reasoning:2, prefix_sum_query:1, set_order_unique:1","inferred-generic_concept:1006, inferred-final_scalar_value:192, inferred-loop_iteration_count:27, inferred-sorting_trace:22, inferred-complexity_bound_reasoning:2, inferred-prefix_sum_query:1, inferred-set_order_unique:1","final_value:647, short_trace:448, concept_choice:127, loop_count:27, complexity:2","vector:88, priority_queue:1, set:1"
ALG|single_choice|medium,1128,"generic_concept:461, sorting_trace:244, binary_search_boundary:140, stack_state_trace:81, prefix_sum_query:46, complexity_bound_reasoning:45, dp_state_transition:27, final_scalar_value:23, bfs_adjacency_queue:21, loop_iteration_count:15","inferred-generic_concept:461, inferred-sorting_trace:244, inferred-binary_search_boundary:140, inferred-stack_state_trace:81, inferred-prefix_sum_query:46, inferred-complexity_bound_reasoning:45, inferred-dp_state_transition:27, inferred-final_scalar_value:23, inferred-bfs_adjacency_queue:21, inferred-loop_iteration_count:15","short_trace:523, final_value:304, complexity:152, loop_count:109, concept_choice:40","vector:405, stack:83, tree:81, graph:60, priority_queue:41, queue:26, set:6, union_find:3, deque:1"
DS|single_choice|medium,972,"generic_concept:414, stack_state_trace:249, queue_state_trace:136, sorting_trace:60, priority_queue_order:27, complexity_bound_reasoning:24, bfs_adjacency_queue:19, binary_search_boundary:14, loop_iteration_count:13, final_scalar_value:9","inferred-generic_concept:414, inferred-stack_state_trace:249, inferred-queue_state_trace:136, inferred-sorting_trace:60, inferred-priority_queue_order:27, inferred-complexity_bound_reasoning:24, inferred-bfs_adjacency_queue:19, inferred-binary_search_boundary:14, inferred-loop_iteration_count:13, inferred-final_scalar_value:9","short_trace:577, final_value:163, loop_count:118, concept_choice:72, complexity:42","stack:249, tree:244, vector:182, queue:158, priority_queue:61, graph:45, set:5, union_find:5, deque:3, map:2"
BAS|single_choice|easy,677,"generic_concept:628, final_scalar_value:21, stack_state_trace:17, sorting_trace:4, queue_state_trace:3, complexity_bound_reasoning:2, loop_iteration_count:2","inferred-generic_concept:628, inferred-final_scalar_value:21, inferred-stack_state_trace:17, inferred-sorting_trace:4, inferred-queue_state_trace:3, inferred-complexity_bound_reasoning:2, inferred-loop_iteration_count:2","short_trace:418, final_value:165, concept_choice:82, complexity:8, loop_count:4","stack:17, vector:12, graph:11, tree:9, queue:8, priority_queue:1"
CPP|single_choice|hard,667,"generic_concept:533, final_scalar_value:83, sorting_trace:33, complexity_bound_reasoning:7, loop_iteration_count:3, stack_state_trace:3, map_count_lookup:2, binary_search_boundary:1, prefix_sum_query:1, priority_queue_order:1","inferred-generic_concept:533, inferred-final_scalar_value:83, inferred-sorting_trace:33, inferred-complexity_bound_reasoning:7, inferred-loop_iteration_count:3, inferred-stack_state_trace:3, inferred-map_count_lookup:2, inferred-binary_search_boundary:1, inferred-prefix_sum_query:1, inferred-priority_queue_order:1","final_value:404, short_trace:207, concept_choice:45, complexity:8, loop_count:3","vector:83, graph:3, stack:3, map:2, priority_queue:1, queue:1, tree:1, union_find:1"
ALG|single_choice|hard,628,"generic_concept:225, sorting_trace:117, binary_search_boundary:94, dp_state_transition:36, prefix_sum_query:34, stack_state_trace:34, complexity_bound_reasoning:29, final_scalar_value:17, priority_queue_order:11, queue_state_trace:9","inferred-generic_concept:225, inferred-sorting_trace:117, inferred-binary_search_boundary:94, inferred-dp_state_transition:36, inferred-prefix_sum_query:34, inferred-stack_state_trace:34, inferred-complexity_bound_reasoning:29, inferred-final_scalar_value:17, inferred-priority_queue_order:11, inferred-queue_state_trace:9","short_trace:263, final_value:178, loop_count:88, complexity:75, concept_choice:24","vector:297, tree:53, graph:52, stack:37, priority_queue:28, queue:21, set:9, union_find:7"
BAS|single_choice|medium,609,"generic_concept:519, stack_state_trace:52, final_scalar_value:15, sorting_trace:8, binary_search_boundary:6, complexity_bound_reasoning:4, queue_state_trace:4, loop_iteration_count:1","inferred-generic_concept:519, inferred-stack_state_trace:52, inferred-final_scalar_value:15, inferred-sorting_trace:8, inferred-binary_search_boundary:6, inferred-complexity_bound_reasoning:4, inferred-queue_state_trace:4, inferred-loop_iteration_count:1","short_trace:366, final_value:142, concept_choice:80, complexity:13, loop_count:8","stack:52, vector:27, tree:24, graph:11, queue:10, priority_queue:2"
DS|single_choice|hard,600,"generic_concept:234, stack_state_trace:117, queue_state_trace:71, priority_queue_order:42, set_order_unique:34, sorting_trace:34, final_scalar_value:16, loop_iteration_count:14, bfs_adjacency_queue:13, complexity_bound_reasoning:13","inferred-generic_concept:234, inferred-stack_state_trace:117, inferred-queue_state_trace:71, inferred-priority_queue_order:42, inferred-set_order_unique:34, inferred-sorting_trace:34, inferred-final_scalar_value:16, inferred-loop_iteration_count:14, inferred-bfs_adjacency_queue:13, inferred-complexity_bound_reasoning:13","short_trace:361, final_value:116, loop_count:73, complexity:32, concept_choice:18","tree:144, stack:118, vector:114, priority_queue:94, queue:93, graph:36, set:32, union_find:26, deque:5, map:4"
ALG|single_choice|easy,572,"generic_concept:216, sorting_trace:120, binary_search_boundary:101, stack_state_trace:36, complexity_bound_reasoning:31, prefix_sum_query:22, dp_state_transition:19, queue_state_trace:9, final_scalar_value:6, priority_queue_order:6","inferred-generic_concept:216, inferred-sorting_trace:120, inferred-binary_search_boundary:101, inferred-stack_state_trace:36, inferred-complexity_bound_reasoning:31, inferred-prefix_sum_query:22, inferred-dp_state_transition:19, inferred-queue_state_trace:9, inferred-final_scalar_value:6, inferred-priority_queue_order:6","short_trace:248, final_value:147, complexity:81, loop_count:75, concept_choice:21","vector:220, stack:40, tree:30, queue:22, priority_queue:15, graph:10, deque:2, set:1"
