id,sourcePath,examTypes,questionType,difficulty,kpGroup,taskFlavor,qualityScore,reasons,recommendedAction
db:088b2955-5230-4e69-9a09-6f68fdd5d38b,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:1c782d79-b219-4440-9987-d5187837fc87,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:2798c83e-43cd-4431-9bb0-fde99f5d2296,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:35151adb-4176-4b75-907b-0f6347d090cf,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:390da97a-7548-4b52-b649-75f03670ca95,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:5ba2e92a-4b02-44f4-8611-ae422ab20fb7,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:628f17c0-12c7-40ac-ae81-830792af3f89,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:674a80a7-ad9c-49d9-a98a-80033716b419,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:687e5021-174f-4d14-82bf-bd4a3e2d75fa,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:6cc7f8e2-7de6-4439-a5b0-95610beefcc9,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:71f7c5fa-f525-4c21-ac0f-00167b0b2a27,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:8623ee9e-c4cf-4fd5-9a2f-1dedfc0d97e7,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:999a9321-1f11-4f48-8868-4104f7ec198f,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:b2619a8d-b189-40d1-95c6-55081f1f9584,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:b6fde542-438b-4fff-851a-6c733b9fb8db,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:d9a04a4b-9d5b-4e3a-b7e3-0bd29ba3b8d7,db:questions,CSP-J|CSP-S,single_choice,hard,DS,queue_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:da23bba2-e2f9-415a-8c09-3b6424ec2e8e,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:dff9ed9c-d2fd-490c-a72d-11283bf0fd47,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:ef58e654-92a0-43c7-b6b8-2a5ea5caeaf1,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:f841ca7b-d012-435c-8489-5ff5fbc99461,db:questions,CSP-J|CSP-S,single_choice,hard,DS,stack_state_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster|ds_stack_queue_overused_candidate,archive_after_replacement_or_manual_review
db:0009d14b-c178-4edc-8b94-b58a926e948e,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:02dc2ae0-4ce9-4e92-9c26-0758d640b3d8,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:02e1355b-8e6c-4c2d-a1b7-71c144911650,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:06232ec7-f792-4eb9-9099-8e5c30649168,db:questions,CSP-J|CSP-S,reading_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:07f6acad-f013-4a5f-a789-2b8d13fb5b5e,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,sorting_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:080a9252-5a60-45f4-a13f-fdf014e97829,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,sorting_trace,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:0a0f1008-21d9-4dbf-82c8-006ede2255f3,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:0bc6b8de-8725-4a72-819c-0fbaade3ed62,db:questions,CSP-J|CSP-S,single_choice,hard,CPP,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:0bf85cc9-646c-4b8e-9758-316360c09e21,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:0c255276-8b51-4cc8-83a0-97f069ecbf9b,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:0d559dd1-fe0f-4a3e-b60e-2db6e7499d75,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:0db5e11d-cb02-469d-a8cb-5ebcc0d1bd1d,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:0e924e7b-4d10-45e9-9863-21104105fac6,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:0eeab9db-d794-4b7d-8e0e-0dee30b6a8ad,db:questions,CSP-J|CSP-S,single_choice,hard,ALG,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:11ea1b8e-8e35-4716-a8a5-886f9870302c,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:127285d4-ed30-4120-9ca5-8ef8afc23269,db:questions,CSP-J|CSP-S,completion_program,hard,ALG,prefix_sum_query,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:148b20ff-5bd3-4731-98d8-7f46f96904b2,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
db:14d0b5d7-aee5-4263-a238-c207fd097e4f,db:questions,CSP-J|CSP-S,single_choice,hard,MATH,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,archive_after_replacement_or_manual_review
