examType,questionType,difficulty,kpGroup,required,available,rawDeficit,rewrite,abandon,salvage,lowQuality,compliant,qualityAdjustedDeficit,situation
GESP-4,single_choice,medium,CPP,200,7,193,7,7,0,7,0,200,quantity_and_quality_deficit
GESP-3,single_choice,medium,CPP,200,20,180,13,10,3,13,7,193,quantity_and_quality_deficit
GESP-3,single_choice,easy,CPP,200,16,184,6,0,6,0,10,190,quantity_and_quality_deficit
GESP-4,single_choice,easy,CPP,200,25,175,12,0,12,0,13,187,quantity_and_quality_deficit
GESP-4,single_choice,easy,ALG,200,25,175,10,0,10,0,15,185,quantity_and_quality_deficit
GESP-4,single_choice,medium,ALG,200,19,181,2,0,2,0,17,183,quantity_and_quality_deficit
GESP-7,single_choice,hard,DS,175,212,0,205,22,183,197,7,168,quality_deficit
GESP-6,single_choice,medium,ALG,225,102,123,37,0,37,20,65,160,quantity_and_quality_deficit
GESP-3,single_choice,medium,ALG,160,5,155,4,0,4,0,1,159,quantity_and_quality_deficit
GESP-3,single_choice,medium,BAS,160,22,138,20,6,14,20,2,158,quantity_and_quality_deficit
GESP-2,single_choice,medium,CPP,320,257,63,94,17,77,86,163,157,quantity_and_quality_deficit
GESP-1,single_choice,easy,CPP,400,324,76,77,0,77,0,247,153,quantity_and_quality_deficit
GESP-3,single_choice,easy,BAS,160,19,141,11,0,11,0,8,152,quantity_and_quality_deficit
GESP-1,single_choice,medium,CPP,320,272,48,96,13,83,90,176,144,quantity_and_quality_deficit
GESP-3,single_choice,easy,ALG,160,29,131,11,0,11,0,18,142,quantity_and_quality_deficit
GESP-7,single_choice,hard,ALG,175,230,0,197,83,114,196,33,142,quality_deficit
GESP-6,single_choice,easy,DS,150,25,125,11,0,11,0,14,136,quantity_and_quality_deficit
GESP-5,single_choice,medium,CPP,135,2,133,2,2,0,2,0,135,quantity_and_quality_deficit
GESP-6,single_choice,easy,ALG,150,20,130,5,0,5,0,15,135,quantity_and_quality_deficit
GESP-1,single_choice,medium,BAS,200,190,10,122,27,95,115,68,132,quantity_and_quality_deficit
GESP-5,single_choice,medium,MATH,135,15,120,10,3,7,9,5,130,quantity_and_quality_deficit
GESP-6,single_choice,medium,CPP,135,10,125,4,3,1,4,6,129,quantity_and_quality_deficit
GESP-6,single_choice,medium,DS,225,209,16,112,0,112,26,97,128,quantity_and_quality_deficit
GESP-8,single_choice,hard,DS,140,185,0,172,1,171,166,13,127,quality_deficit
GESP-8,single_choice,hard,MATH,140,145,0,130,1,129,130,15,125,quality_deficit
GESP-6,single_choice,hard,ALG,125,10,115,8,3,5,8,2,123,quantity_and_quality_deficit
GESP-6,single_choice,hard,DS,125,20,105,18,5,13,18,2,123,quantity_and_quality_deficit
GESP-5,single_choice,hard,ALG,125,5,120,2,0,2,2,3,122,quantity_and_quality_deficit
GESP-4,single_choice,medium,BAS,120,8,112,5,3,2,5,3,117,quantity_and_quality_deficit
GESP-5,single_choice,easy,ALG,150,44,106,10,0,10,0,34,116,quantity_and_quality_deficit
GESP-7,single_choice,medium,DS,225,221,4,111,0,111,30,110,115,quantity_and_quality_deficit
GESP-1,single_choice,easy,BAS,250,182,68,44,0,44,0,138,112,quantity_and_quality_deficit
GESP-2,single_choice,easy,CPP,400,318,82,29,0,29,0,289,111,quantity_and_quality_deficit
GESP-4,single_choice,easy,BAS,120,19,101,2,0,2,0,17,103,quantity_and_quality_deficit
CSP-S,single_choice,hard,DS,120,140,0,122,5,117,115,18,102,quality_deficit
GESP-5,reading_program,medium,ALG,99,0,99,0,0,0,0,0,99,quantity_and_quality_deficit
GESP-3,single_choice,hard,CPP,100,5,95,4,0,4,4,1,99,quantity_and_quality_deficit
GESP-4,single_choice,hard,CPP,100,10,90,9,0,9,9,1,99,quantity_and_quality_deficit
GESP-4,single_choice,hard,ALG,100,14,86,12,0,12,12,2,98,quantity_and_quality_deficit
GESP-2,single_choice,medium,BAS,160,153,7,91,13,78,90,62,98,quantity_and_quality_deficit
