similarity	salientSimilarity	recommendation	questionType	samePrimaryKp	sameDifficulty	sharedExamTypes	leftId	leftSourcePath	leftItemIndex	leftBundleRunId	leftDifficulty	leftPrimaryKpCode	leftExamTypes	leftContentHash	leftStemPreview	rightId	rightSourcePath	rightItemIndex	rightBundleRunId	rightDifficulty	rightPrimaryKpCode	rightExamTypes	rightContentHash	rightStemPreview	leftSimilarityTextPreview	rightSimilarityTextPreview	leftSalientTextPreview	rightSalientTextPreview
0.984576	0.962733	ignore_likely_false_positive	reading_program	true	false		papers/2026/2026-05-01-bulk1000-b002-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b002-gesp-8-hard-v01__question-bundle__reading-program__ds__n4__v01.json#2	papers/2026/2026-05-01-bulk1000-b002-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b002-gesp-8-hard-v01__question-bundle__reading-program__ds__n4__v01.json	2	2026-05-01-bulk1000-b002-gesp-8-hard-v01	hard	DS	GESP-8	0beea506625f97ff4c42405b8fd9f9dfac95c413214a54e21b1db3597bd206a8	Q0008（GESP-8/hard）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	papers/2026/2026-05-01-bulk1000-b144-csp-j-easy-v01/question-bundles/2026-05-01-bulk1000-b144-csp-j-easy-v01__question-bundle__reading-program__ds__n2__v01.json#1	papers/2026/2026-05-01-bulk1000-b144-csp-j-easy-v01/question-bundles/2026-05-01-bulk1000-b144-csp-j-easy-v01__question-bundle__reading-program__ds__n2__v01.json	1	2026-05-01-bulk1000-b144-csp-j-easy-v01	easy	DS	CSP-J	4a634ce7911c44d2db44aa4fbee6e26500fe52407236911da035f028710ca4bf	Q0720（CSP-J/easy）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	q 1 q push 5 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 3 5 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...	q 1 q push 2 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 3 5 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...
0.954430	0.915152	ignore_likely_false_positive	reading_program	true	false		papers/2026/2026-05-01-bulk1000-b002-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b002-gesp-8-hard-v01__question-bundle__reading-program__ds__n4__v01.json#2	papers/2026/2026-05-01-bulk1000-b002-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b002-gesp-8-hard-v01__question-bundle__reading-program__ds__n4__v01.json	2	2026-05-01-bulk1000-b002-gesp-8-hard-v01	hard	DS	GESP-8	0beea506625f97ff4c42405b8fd9f9dfac95c413214a54e21b1db3597bd206a8	Q0008（GESP-8/hard）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	papers/2026/2026-05-01-bulk1000-b093-gesp-6-medium-v01/question-bundles/2026-05-01-bulk1000-b093-gesp-6-medium-v01__question-bundle__reading-program__ds__n3__v01.json#2	papers/2026/2026-05-01-bulk1000-b093-gesp-6-medium-v01/question-bundles/2026-05-01-bulk1000-b093-gesp-6-medium-v01__question-bundle__reading-program__ds__n3__v01.json	2	2026-05-01-bulk1000-b093-gesp-6-medium-v01	medium	DS	GESP-6	30eec5e423b52aa25ba6e101c67d89574f24342f02989151401aa890d128f9e6	Q0464（GESP-6/medium）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	q 1 q push 5 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 3 5 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...	q 1 q push 6 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 5 4 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...
0.954430	0.915152	ignore_likely_false_positive	reading_program	true	false		papers/2026/2026-05-01-bulk1000-b093-gesp-6-medium-v01/question-bundles/2026-05-01-bulk1000-b093-gesp-6-medium-v01__question-bundle__reading-program__ds__n3__v01.json#2	papers/2026/2026-05-01-bulk1000-b093-gesp-6-medium-v01/question-bundles/2026-05-01-bulk1000-b093-gesp-6-medium-v01__question-bundle__reading-program__ds__n3__v01.json	2	2026-05-01-bulk1000-b093-gesp-6-medium-v01	medium	DS	GESP-6	30eec5e423b52aa25ba6e101c67d89574f24342f02989151401aa890d128f9e6	Q0464（GESP-6/medium）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	papers/2026/2026-05-01-bulk1000-b144-csp-j-easy-v01/question-bundles/2026-05-01-bulk1000-b144-csp-j-easy-v01__question-bundle__reading-program__ds__n2__v01.json#1	papers/2026/2026-05-01-bulk1000-b144-csp-j-easy-v01/question-bundles/2026-05-01-bulk1000-b144-csp-j-easy-v01__question-bundle__reading-program__ds__n2__v01.json	1	2026-05-01-bulk1000-b144-csp-j-easy-v01	easy	DS	CSP-J	4a634ce7911c44d2db44aa4fbee6e26500fe52407236911da035f028710ca4bf	Q0720（CSP-J/easy）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	q 1 q push 6 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 5 4 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...	q 1 q push 2 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 3 5 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...
0.954430	0.903614	ignore_likely_false_positive	reading_program	true	true		papers/2026/2026-05-01-bulk1000-b002-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b002-gesp-8-hard-v01__question-bundle__reading-program__ds__n4__v01.json#2	papers/2026/2026-05-01-bulk1000-b002-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b002-gesp-8-hard-v01__question-bundle__reading-program__ds__n4__v01.json	2	2026-05-01-bulk1000-b002-gesp-8-hard-v01	hard	DS	GESP-8	0beea506625f97ff4c42405b8fd9f9dfac95c413214a54e21b1db3597bd206a8	Q0008（GESP-8/hard）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	papers/2026/2026-05-01-bulk1000-b008-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b008-gesp-7-hard-v01__question-bundle__reading-program__ds__n5__v01.json#4	papers/2026/2026-05-01-bulk1000-b008-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b008-gesp-7-hard-v01__question-bundle__reading-program__ds__n5__v01.json	4	2026-05-01-bulk1000-b008-gesp-7-hard-v01	hard	DS	GESP-7	e247f7f1d9ef0b216f2a27f0530d416be18421deb6d38e00199fa30c57de5d79	Q0040（GESP-7/hard）：阅读队列模拟程序，分析程序逻辑并回答问题。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	q 1 q push 5 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 3 5 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...	q 1 q push 3 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 7 5 3 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...
0.954430	0.903614	ignore_likely_false_positive	reading_program	true	false		papers/2026/2026-05-01-bulk1000-b008-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b008-gesp-7-hard-v01__question-bundle__reading-program__ds__n5__v01.json#4	papers/2026/2026-05-01-bulk1000-b008-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b008-gesp-7-hard-v01__question-bundle__reading-program__ds__n5__v01.json	4	2026-05-01-bulk1000-b008-gesp-7-hard-v01	hard	DS	GESP-7	e247f7f1d9ef0b216f2a27f0530d416be18421deb6d38e00199fa30c57de5d79	Q0040（GESP-7/hard）：阅读队列模拟程序，分析程序逻辑并回答问题。	papers/2026/2026-05-01-bulk1000-b144-csp-j-easy-v01/question-bundles/2026-05-01-bulk1000-b144-csp-j-easy-v01__question-bundle__reading-program__ds__n2__v01.json#1	papers/2026/2026-05-01-bulk1000-b144-csp-j-easy-v01/question-bundles/2026-05-01-bulk1000-b144-csp-j-easy-v01__question-bundle__reading-program__ds__n2__v01.json	1	2026-05-01-bulk1000-b144-csp-j-easy-v01	easy	DS	CSP-J	4a634ce7911c44d2db44aa4fbee6e26500fe52407236911da035f028710ca4bf	Q0720（CSP-J/easy）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	q 1 q push 3 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 7 5 3 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...	q 1 q push 2 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 3 5 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...
0.939698	0.903614	ignore_likely_false_positive	reading_program	true	false		papers/2026/2026-05-01-bulk1000-b008-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b008-gesp-7-hard-v01__question-bundle__reading-program__ds__n5__v01.json#4	papers/2026/2026-05-01-bulk1000-b008-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b008-gesp-7-hard-v01__question-bundle__reading-program__ds__n5__v01.json	4	2026-05-01-bulk1000-b008-gesp-7-hard-v01	hard	DS	GESP-7	e247f7f1d9ef0b216f2a27f0530d416be18421deb6d38e00199fa30c57de5d79	Q0040（GESP-7/hard）：阅读队列模拟程序，分析程序逻辑并回答问题。	papers/2026/2026-05-01-bulk1000-b093-gesp-6-medium-v01/question-bundles/2026-05-01-bulk1000-b093-gesp-6-medium-v01__question-bundle__reading-program__ds__n3__v01.json#2	papers/2026/2026-05-01-bulk1000-b093-gesp-6-medium-v01/question-bundles/2026-05-01-bulk1000-b093-gesp-6-medium-v01__question-bundle__reading-program__ds__n3__v01.json	2	2026-05-01-bulk1000-b093-gesp-6-medium-v01	medium	DS	GESP-6	30eec5e423b52aa25ba6e101c67d89574f24342f02989151401aa890d128f9e6	Q0464（GESP-6/medium）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	q 1 q push 3 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 7 5 3 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...	q 1 q push 6 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 5 4 7 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...
0.923077	0.854651	ignore_likely_false_positive	reading_program	true	false		papers/2026/2026-05-01-bulk1000-b008-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b008-gesp-7-hard-v01__question-bundle__reading-program__ds__n5__v01.json#4	papers/2026/2026-05-01-bulk1000-b008-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b008-gesp-7-hard-v01__question-bundle__reading-program__ds__n5__v01.json	4	2026-05-01-bulk1000-b008-gesp-7-hard-v01	hard	DS	GESP-7	e247f7f1d9ef0b216f2a27f0530d416be18421deb6d38e00199fa30c57de5d79	Q0040（GESP-7/hard）：阅读队列模拟程序，分析程序逻辑并回答问题。	papers/2026/2026-05-01-bulk1000-b144-csp-j-easy-v01/question-bundles/2026-05-01-bulk1000-b144-csp-j-easy-v01__question-bundle__reading-program__ds__n2__v01.json#0	papers/2026/2026-05-01-bulk1000-b144-csp-j-easy-v01/question-bundles/2026-05-01-bulk1000-b144-csp-j-easy-v01__question-bundle__reading-program__ds__n2__v01.json	0	2026-05-01-bulk1000-b144-csp-j-easy-v01	easy	DS	CSP-J	8ed0c2238898942308e9dcfa6dcebea1660460969951832e07e0c8f6ce4bcd67	Q0716（CSP-J/easy）：阅读队列模拟程序，判断循环结束后的队首和队列长度。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; queue<int> q; for (int i = 1; i <= n; ++i...	q 1 q push 3 0 q pop q front q size 当样例 为 5 时， 是多少？ 6 7 5 3 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操作是...	q 1 q push 3 0 q pop q front q size 当样例 为 9 时， 是多少？ 10 7 9 11 中 q 主要体现了哪种数据结构特性？ 后进先出 随机访问 先进先出 递归展开 当 能被给定常数整除时， 的 操...
0.920213	0.824324	ignore_likely_false_positive	reading_program	true	true		papers/2026/2026-05-01-bulk1000-b024-gesp-1-medium-v01/question-bundles/2026-05-01-bulk1000-b024-gesp-1-medium-v01__question-bundle__reading-program__cpp__n5__v01.json#3	papers/2026/2026-05-01-bulk1000-b024-gesp-1-medium-v01/question-bundles/2026-05-01-bulk1000-b024-gesp-1-medium-v01__question-bundle__reading-program__cpp__n5__v01.json	3	2026-05-01-bulk1000-b024-gesp-1-medium-v01	medium	CPP	GESP-1	2ee029fae9edc6cd7493c716d6e7f6e8c260b30edc661a84450bd6e1c18e03f0	Q0119（GESP-1/medium）：阅读循环累加程序，分析条件分支对 ans 的影响。	papers/2026/2026-05-01-bulk1000-b181-csp-j-medium-v01/question-bundles/2026-05-01-bulk1000-b181-csp-j-medium-v01__question-bundle__reading-program__cpp__n5__v01.json#2	papers/2026/2026-05-01-bulk1000-b181-csp-j-medium-v01/question-bundles/2026-05-01-bulk1000-b181-csp-j-medium-v01__question-bundle__reading-program__cpp__n5__v01.json	2	2026-05-01-bulk1000-b181-csp-j-medium-v01	medium	CPP	CSP-J	11fd606475d528af7a2fe4105470cfa416589d04953e37b6226b467c8605f8be	Q0903（CSP-J/medium）：阅读循环累加程序，分析条件分支对 ans 的影响。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; int ans = 0; for (int i = 1; i <= n; ++i)...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; int ans = 0; for (int i = 1; i <= n; ++i)...	0 1 6 0 1 1 当样例 为 12 时， 是多少？ 25 27 29 28 的取值范围是什么？ 0 到 1 1 到 ，共 次 只取偶数 直到 为 0 条件 0 用来判断什么？ 是否小于 是否为负数 是否能被 整除 是否为质数 该...	0 1 5 0 1 1 当样例 为 12 时， 是多少？ 22 24 26 25 的取值范围是什么？ 0 到 1 1 到 ，共 次 只取偶数 直到 为 0 条件 0 用来判断什么？ 是否小于 是否为负数 是否能被 整除 是否为质数 该...
0.919786	0.813333	ignore_likely_false_positive	reading_program	true	false		papers/2026/2026-05-01-bulk1000-b181-csp-j-medium-v01/question-bundles/2026-05-01-bulk1000-b181-csp-j-medium-v01__question-bundle__reading-program__cpp__n5__v01.json#4	papers/2026/2026-05-01-bulk1000-b181-csp-j-medium-v01/question-bundles/2026-05-01-bulk1000-b181-csp-j-medium-v01__question-bundle__reading-program__cpp__n5__v01.json	4	2026-05-01-bulk1000-b181-csp-j-medium-v01	medium	CPP	CSP-J	d8cead18b73e8b1ea3678f097056fca7cd805f38e259bd1364aa7f1d0e9dd182	Q0905（CSP-J/medium）：阅读循环累加程序，分析条件分支对 ans 的影响。	papers/2026/2026-05-01-bulk1000-b189-gesp-4-easy-v01/question-bundles/2026-05-01-bulk1000-b189-gesp-4-easy-v01__question-bundle__reading-program__cpp__n5__v01.json#4	papers/2026/2026-05-01-bulk1000-b189-gesp-4-easy-v01/question-bundles/2026-05-01-bulk1000-b189-gesp-4-easy-v01__question-bundle__reading-program__cpp__n5__v01.json	4	2026-05-01-bulk1000-b189-gesp-4-easy-v01	easy	CPP	GESP-4	23501061acab3d1f4f3b50f5bc7fdb9d541de525b20c1e4e61295338bb00aee9	Q0945（GESP-4/easy）：阅读循环累加程序，分析条件分支对 ans 的影响。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; int ans = 0; for (int i = 1; i <= n; ++i)...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; int ans = 0; for (int i = 1; i <= n; ++i)...	0 1 2 0 7 7 当样例 为 6 时， 是多少？ 102 105 104 106 的取值范围是什么？ 0 到 1 只取偶数 直到 为 0 1 到 ，共 次 条件 0 用来判断什么？ 是否能被 整除 是否小于 是否为负数 是否为质...	0 1 2 0 2 1 当样例 为 6 时， 是多少？ 12 15 14 16 的取值范围是什么？ 0 到 1 只取偶数 直到 为 0 1 到 ，共 次 条件 0 用来判断什么？ 是否能被 整除 是否小于 是否为负数 是否为质数 该 ...
0.917333	0.821918	ignore_likely_false_positive	reading_program	true	false		papers/2026/2026-05-01-bulk1000-b095-gesp-5-medium-v01/question-bundles/2026-05-01-bulk1000-b095-gesp-5-medium-v01__question-bundle__reading-program__alg__n4__v01.json#1	papers/2026/2026-05-01-bulk1000-b095-gesp-5-medium-v01/question-bundles/2026-05-01-bulk1000-b095-gesp-5-medium-v01__question-bundle__reading-program__alg__n4__v01.json	1	2026-05-01-bulk1000-b095-gesp-5-medium-v01	medium	ALG	GESP-5	3642d564bd7b1eaf9b4646025b8d40df4b5534eb62a8000c6259f2302a4cdbf7	Q0472（GESP-5/medium）：阅读循环累加程序，分析条件分支对 ans 的影响。	papers/2026/2026-05-01-bulk1000-b140-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b140-gesp-7-hard-v01__question-bundle__reading-program__alg__n4__v01.json#0	papers/2026/2026-05-01-bulk1000-b140-gesp-7-hard-v01/question-bundles/2026-05-01-bulk1000-b140-gesp-7-hard-v01__question-bundle__reading-program__alg__n4__v01.json	0	2026-05-01-bulk1000-b140-gesp-7-hard-v01	hard	ALG	GESP-7	add156d3f077bec0f5ad3027255b483cc98b719d54e857436c7b08d5566ee6eb	Q0696（GESP-7/hard）：阅读循环累加程序，分析条件分支对 ans 的影响。	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; int ans = 0; for (int i = 1; i <= n; ++i)...	#include <bits/stdc++.h> using namespace std; int main() { int n; cin >> n; int ans = 0; for (int i = 1; i <= n; ++i)...	0 1 4 0 3 3 当样例 为 5 时， 是多少？ 24 21 23 25 的取值范围是什么？ 0 到 1 只取偶数 1 到 ，共 次 直到 为 0 条件 0 用来判断什么？ 是否小于 是否为负数 是否为质数 是否能被 整除 该 ...	0 1 3 0 3 3 当样例 为 5 时， 是多少？ 21 18 20 22 的取值范围是什么？ 0 到 1 只取偶数 1 到 ，共 次 直到 为 0 条件 0 用来判断什么？ 是否小于 是否为负数 是否为质数 是否能被 整除 该 ...
